,date,closing,adjusted,evolution,quantity,volume
0,2020-01-04,3450.0,3450.0,0.0,0.0,0.0
1,2020-01-06,3475.0,3475.0,0.0,0.0,0.0
2,2020-01-07,3500.0,3500.0,0.0,0.0,0.0
3,2020-01-09,3200.0,3200.0,0.0,0.0,0.0
4,2020-01-10,3230.0,3230.0,0.0,0.0,0.0
5,2020-01-12,3299.0,3299.0,1.1,17.0,56083.0
6,2020-01-13,3213.0,3213.0,0.0,0.0,0.0
7,2020-01-14,3213.0,3213.0,0.0,0.0,0.0
8,2020-01-15,3213.0,3213.0,0.0,0.0,0.0
9,2020-01-16,3213.0,3213.0,0.0,0.0,0.0
10,2020-01-17,3355.0,3355.0,4.42,28.0,93940.0
11,2020-01-20,3355.0,3355.0,0.0,0.0,0.0
12,2020-01-21,3355.0,3355.0,0.0,0.0,0.0
13,2020-01-22,3355.0,3355.0,0.0,0.0,0.0
14,2020-01-23,3355.0,3355.0,0.0,0.0,0.0
15,2020-01-24,3355.0,3355.0,0.0,0.0,0.0
16,2020-01-27,3355.0,3355.0,0.0,0.0,0.0
17,2020-01-28,3398.0,3398.0,1.28,10.0,33980.0
18,2020-01-29,3398.0,3398.0,0.0,0.0,0.0
19,2020-01-30,3398.0,3398.0,0.0,0.0,0.0
20,2020-01-31,3398.0,3398.0,0.0,0.0,0.0
21,2020-02-01,3305.0,3305.0,0.0,0.0,0.0
22,2020-02-03,3185.0,3185.0,-5.71,2.0,6370.0
23,2020-02-04,3450.0,3450.0,0.0,300.0,1035000.0
24,2020-02-06,3475.0,3475.0,0.0,0.0,0.0
25,2020-02-07,3500.0,3500.0,0.0,0.0,0.0
26,2020-02-09,3200.0,3200.0,0.0,0.0,0.0
27,2020-02-10,3230.0,3230.0,0.0,0.0,0.0
28,2020-02-11,3200.0,3200.0,0.0,0.0,0.0
29,2020-02-12,3299.0,3299.0,0.0,0.0,0.0
30,2020-02-13,3398.0,3398.0,0.0,0.0,0.0
31,2020-02-14,3398.0,3398.0,0.0,0.0,0.0
32,2020-02-17,3300.0,3300.0,-2.88,150.0,495000.0
33,2020-02-18,3304.0,3304.0,0.12,7.0,23128.0
34,2020-02-19,3304.0,3304.0,0.0,0.0,0.0
35,2020-02-20,3304.0,3304.0,0.0,0.0,0.0
36,2020-02-21,3304.0,3304.0,0.0,0.0,0.0
37,2020-02-24,3304.0,3304.0,0.0,3.0,9912.0
38,2020-02-25,3320.0,3320.0,0.48,72.0,239040.0
39,2020-02-26,3320.0,3320.0,0.0,0.0,0.0
40,2020-02-27,3320.0,3320.0,0.0,0.0,0.0
41,2020-02-28,3378.0,3378.0,1.75,10.0,33780.0
42,2020-03-01,3305.0,3305.0,0.0,0.0,0.0
43,2020-03-02,3398.0,3398.0,0.0,0.0,0.0
44,2020-03-03,3376.0,3376.0,6.0,30.0,101280.0
45,2020-03-04,3450.0,3450.0,0.0,25.0,86250.0
46,2020-03-06,3475.0,3475.0,0.0,0.0,0.0
47,2020-03-07,3550.0,3550.0,1.43,1.0,3550.0
48,2020-03-08,3325.0,3325.0,0.0,0.0,0.0
49,2020-03-09,3200.0,3200.0,0.0,0.0,0.0
50,2020-03-11,3200.0,3200.0,0.0,0.0,0.0
51,2020-03-12,3364.0,3364.0,1.97,5.0,16820.0
52,2020-03-13,3313.0,3313.0,0.0,87.0,288231.0
53,2020-03-16,3320.0,3320.0,0.21,227.0,753640.0
54,2020-03-17,3320.0,3320.0,0.0,27.0,89640.0
55,2020-03-18,3320.0,3320.0,0.0,0.0,0.0
56,2020-03-19,3320.0,3320.0,0.0,0.0,0.0
57,2020-03-20,3320.0,3320.0,0.0,0.0,0.0
58,2020-03-23,3320.0,3320.0,0.0,0.0,0.0
59,2020-03-24,3386.0,3386.0,1.99,74.0,250564.0
60,2020-03-25,3386.0,3386.0,0.0,0.0,0.0
61,2020-03-26,3399.0,3399.0,0.38,3.0,10197.0
62,2020-03-27,3399.0,3399.0,0.0,1.0,3399.0
63,2020-03-30,3399.0,3399.0,0.0,0.0,0.0
64,2020-03-31,3450.0,3450.0,1.5,45.0,155250.0
65,2020-04-02,3398.0,3398.0,0.0,0.0,0.0
66,2020-04-03,3376.0,3376.0,0.0,0.0,0.0
67,2020-04-05,3450.0,3450.0,0.0,0.0,0.0
68,2020-04-06,3475.0,3475.0,0.0,0.0,0.0
69,2020-04-08,3261.0,3261.0,-1.92,3.0,9783.0
70,2020-04-09,3200.0,3200.0,0.0,0.0,0.0
71,2020-04-11,3200.0,3200.0,0.0,0.0,0.0
72,2020-04-12,3364.0,3364.0,0.0,0.0,0.0
73,2020-04-13,3450.0,3450.0,0.0,0.0,0.0
74,2020-04-14,3475.0,3475.0,0.72,110.0,382250.0
75,2020-04-15,3475.0,3475.0,0.0,0.0,0.0
76,2020-04-16,3500.0,3500.0,0.72,426.0,1491000.0
77,2020-04-17,3500.0,3500.0,0.0,0.0,0.0
78,2020-04-20,3500.0,3500.0,0.0,0.0,0.0
79,2020-04-21,3450.0,3450.0,-1.43,68.0,234600.0
80,2020-04-22,3450.0,3450.0,0.0,70.0,241500.0
81,2020-04-23,3450.0,3450.0,0.0,0.0,0.0
82,2020-04-24,3450.0,3450.0,0.0,0.0,0.0
83,2020-04-27,3450.0,3450.0,0.0,0.0,0.0
84,2020-04-28,3450.0,3450.0,0.0,0.0,0.0
85,2020-04-29,3450.0,3450.0,0.0,0.0,0.0
86,2020-04-30,3450.0,3450.0,0.0,0.0,0.0
87,2020-05-02,3398.0,3398.0,0.0,0.0,0.0
88,2020-05-03,3376.0,3376.0,0.0,0.0,0.0
89,2020-05-05,3450.0,3450.0,0.0,153.0,527850.0
90,2020-05-06,3475.0,3475.0,0.0,0.0,0.0
91,2020-05-08,3261.0,3261.0,0.0,0.0,0.0
92,2020-05-10,3201.0,3201.0,-0.9,1.0,3201.0
93,2020-05-11,3200.0,3200.0,0.0,0.0,0.0
94,2020-05-13,3455.0,3455.0,0.0,0.0,0.0
95,2020-05-14,3455.0,3455.0,0.0,0.0,0.0
96,2020-05-15,3455.0,3455.0,0.0,0.0,0.0
97,2020-05-18,3455.0,3455.0,0.0,0.0,0.0
98,2020-05-19,3450.0,3450.0,-0.14,10.0,34500.0
99,2020-05-20,3450.0,3450.0,0.0,2.0,6900.0
100,2020-05-21,3450.0,3450.0,0.0,0.0,0.0
101,2020-05-22,3450.0,3450.0,0.0,0.0,0.0
102,2020-05-26,3475.0,3475.0,0.72,10.0,34750.0
103,2020-05-27,3475.0,3475.0,0.0,0.0,0.0
104,2020-05-28,3475.0,3475.0,0.0,0.0,0.0
105,2020-05-29,3475.0,3475.0,0.0,0.0,0.0
106,2020-06-01,3305.0,3305.0,0.0,0.0,0.0
107,2020-06-02,3398.0,3398.0,0.0,0.0,0.0
108,2020-06-03,3376.0,3376.0,0.0,0.0,0.0
109,2020-06-04,3450.0,3450.0,0.0,25.0,86250.0
110,2020-06-05,3450.0,3450.0,0.0,0.0,0.0
111,2020-06-07,3550.0,3550.0,0.0,37.0,131350.0
