,date,closing,adjusted,evolution,quantity,volume
0,2020-01-04,1150.0,1150.0,0.0,0.0,0.0
1,2020-01-06,1049.0,1049.0,1.06,10.0,10490.0
2,2020-01-07,1090.0,1090.0,0.0,0.0,0.0
3,2020-01-09,1095.0,1095.0,0.0,0.0,0.0
4,2020-01-10,1165.0,1165.0,0.0,0.0,0.0
5,2020-01-12,1160.0,1160.0,0.0,0.0,0.0
6,2020-01-13,1362.0,1362.0,0.0,0.0,0.0
7,2020-01-14,1370.0,1370.0,0.59,30.0,40900.0
8,2020-01-15,1393.0,1393.0,1.68,5000.0,6956000.0
9,2020-01-16,1400.0,1400.0,0.5,524.0,733600.0
10,2020-01-17,1402.0,1402.0,0.14,2.0,2804.0
11,2020-01-20,1391.0,1391.0,-0.78,2.0,2782.0
12,2020-01-21,1410.0,1410.0,1.37,50.0,70443.0
13,2020-01-22,1425.0,1425.0,1.06,6.0,8550.0
14,2020-01-23,1440.0,1440.0,1.05,1403.0,2020320.0
15,2020-01-24,1440.0,1440.0,0.0,0.0,0.0
16,2020-01-27,1440.0,1440.0,0.0,0.0,0.0
17,2020-01-28,1440.0,1440.0,0.0,0.0,0.0
18,2020-01-29,1440.0,1440.0,0.0,0.0,0.0
19,2020-01-30,1440.0,1440.0,0.0,51.0,72080.0
20,2020-01-31,1440.0,1440.0,0.0,0.0,0.0
21,2020-02-01,1362.0,1362.0,0.0,0.0,0.0
22,2020-02-03,1450.0,1450.0,0.0,0.0,0.0
23,2020-02-04,1150.0,1150.0,0.0,0.0,0.0
24,2020-02-06,1020.0,1020.0,-2.76,50.0,51380.0
25,2020-02-07,1090.0,1090.0,0.0,30.0,32700.0
26,2020-02-09,1095.0,1095.0,0.0,0.0,0.0
27,2020-02-10,1165.0,1165.0,0.0,0.0,0.0
28,2020-02-11,1160.0,1160.0,0.0,0.0,0.0
29,2020-02-12,1160.0,1160.0,0.0,0.0,0.0
30,2020-02-13,1400.0,1400.0,0.0,20.0,28001.0
31,2020-02-14,1450.0,1450.0,3.57,1000.0,1450000.0
32,2020-02-17,1450.0,1450.0,0.0,0.0,0.0
33,2020-02-18,1450.0,1450.0,0.0,0.0,0.0
34,2020-02-19,1450.0,1450.0,0.0,0.0,0.0
35,2020-02-20,1450.0,1450.0,0.0,0.0,0.0
36,2020-02-21,1450.0,1450.0,0.0,1500.0,2175000.0
37,2020-02-24,1450.0,1450.0,0.0,0.0,0.0
38,2020-02-25,1450.0,1450.0,0.0,0.0,0.0
